,Class 0: Selective,Class 1: Pure Hemolytic,Class 2: Both Active/Toxic,Class 3: Inactive
MoranAuto_Mutability7,0.0024137413374435827,0.000616957764029108,0.0021730894852539486,0.007878772738355052
MoranAuto_Mutability8,0.00015071367125022635,0.0012233896915068083,0.00043602665046594657,0.0011349252443611296
MoranAuto_Polarizability8,0.0021847256978774214,0.0,0.00022989826803049396,0.0002448602215869232
MoranAuto_ResidueVol13,0.0007713400300468413,0.0,0.000575327088361434,0.0013369666350614869
MoranAuto_Steric4,0.00021014648922176773,0.004998621355182905,0.0,0.0020646050378320666
MoranAuto_Steric6,0.00014982947158084784,0.0,0.0,0.00026722944438027375
MoreauBrotoAuto_FreeEnergy11,0.0008589235470943877,5.698436602209649e-05,0.00043242651226319716,0.0003506830777784115
MoreauBrotoAuto_Hydrophobicity11,0.0063214751546562305,0.0005679013465959456,0.0005135258254747432,0.0022176898004279437
MoreauBrotoAuto_Hydrophobicity16,0.0008214117032508436,0.0008615907814849271,0.0005113107509935927,0.00031055437493109506
MoreauBrotoAuto_Hydrophobicity8,0.00026854749626829805,0.0005978107662486968,9.348119767017974e-05,9.282903687662936e-06
MoreauBrotoAuto_Polarizability11,0.0010500087438001086,0.0,0.00023377958872142105,0.001026647675075899
MoreauBrotoAuto_Polarizability12,0.00016846015972022971,0.0,0.0030955835891323044,0.002381264639649554
MoreauBrotoAuto_ResidueASA1,0.00027310951022477113,9.805730461166132e-05,8.546304610374694e-05,0.0003829716948021397
MoreauBrotoAuto_ResidueASA11,0.001966062232502834,2.295972466651572e-05,6.877133643112375e-05,0.0021237966286433885
MoreauBrotoAuto_Steric4,0.0004883163407186342,0.0025062275548813494,0.0008331952285472468,0.00037613692713532577
NC,0.0,0.0,0.0,0.0
NI,0.0,0.0,0.0,0.0
NK,0.0011512276555322918,0.0011029068415306005,0.002199587660626082,0.005240972678417311
NV,0.0003304857521732781,0.0025380281959544474,0.0008960488235391889,0.0008288088643503474
NW,0.0013675419213220602,0.0,5.999490230476808e-05,0.001578794826054169
PA,0.0007736845249819482,0.0015824391200254654,0.00043133261662120335,0.0011959993577997804
PG,0.0,2.5955402366396872e-05,0.0,0.0
PL,0.0004680249327852808,0.00014851913592538174,0.00017741442794474966,0.0005163825930605073
PV,0.0009214091956882403,0.0012171999377218875,8.85572968710518e-05,0.0022247352234313227
PW,0.0020995622946913778,0.001407289936629998,0.00018302060524556546,0.0001390253240226136
QK,0.0,0.0,0.00019267968270096555,0.00034622650570905014
QN,0.0020279717103697924,0.00041852535302527177,0.0005227632603182748,0.001026700513215423
QSOSW11,0.002211817941629111,0.0007981825741469737,0.00014973015315655874,0.0040019049724442125
QSOSW12,0.0,0.0004429278540452559,8.37923114215552e-05,0.001063318026384901
QSOSW13,0.0003298323388265447,0.0004623074662811752,0.00015961803590339,0.00045176388538917684
QSOSW18,0.0,0.0,3.0484858328777995e-05,0.00010695388999138784
QSOSW24,0.005600910011548996,0.006473954685363239,0.006956132589757262,0.026546838557240875
QSOSW3,0.0021640708066964715,0.00046506828667939427,0.0005278009079021016,0.0040683635308838674
QSOgrant15,0.0,0.0,0.0,0.0
QSOgrant2,0.0,0.0,0.0,0.0
QSOgrant20,0.0,0.00011952460083704696,0.0,0.0
QSOgrant8,0.0,0.0,0.0,0.0
QSOgrant9,0.0005784164425383571,0.0005929029518880938,2.7339704101782155e-05,0.001402249457320798
RC,0.0017746792055810695,0.00026898336268003947,0.0003722700810762084,0.000853629987438704
RH,0.0,0.0,0.0,0.0
RR,7.83784643001458e-05,0.0002886810890776546,0.0011223370720765853,0.0009449693674023728
RY,0.00048727408474308787,0.0,0.0005910379896755176,0.0011628646745384206
SE,0.0005416252025906964,0.0001078397692232023,0.00026280856873897086,0.0009241190621658951
SH,0.0,0.0,0.0,0.0
SL,0.0007242582510747751,0.0004748107533800845,0.0003747497779118595,0.00010582144437529049
SN,0.0008552470249827005,0.000368619594925127,0.0003628138497215253,0.0007772125151929652
SP,0.0001851199696785215,0.0,0.000276615719184847,0.0004919280305914843
SV,0.0015826292754501832,0.003148371223636622,0.0009916292567031552,0.004552339583689602
SY,0.002349465767550074,0.0014155662708579845,0.0003489778199400155,0.0010259069090179324
TA,0.000531528152854227,0.00011733354903054678,0.00042398012624640316,8.157478051804787e-05
TI,0.0004066630047941539,0.0007639685384024112,0.0010001780889150858,0.0010331445976717924
TK,0.0012778336653364163,0.000586204706871413,0.0002938680127491836,0.0003265268968978388
TP,0.00024259694400327958,0.0,0.00011610209890792506,0.0002891101391067517
TT,0.00016464162887735783,0.0,0.0013695043814569785,0.0008690627885246487
VC,0.0007102421595482759,0.0012681803372953382,0.00079841214573273,0.0015172004879819994
VD,0.0006639345761225255,0.0,0.00016585687795670905,0.0008139148641714127
VK,0.0002173043472190196,0.0007322135475004166,0.00025643348759782207,0.0
VR,0.0019703625242808243,0.0004081043707861254,0.0003270267274479074,0.0006315886419386917
W,0.001977577279081771,0.0,0.00020129841202408944,0.001330448169540723
WE,0.0,0.00018978033784641208,0.00049701642700171,0.0005823173517824083
WL,0.0,0.0,5.4647206001094404e-05,0.0004368616818769501
WN,0.002000427815882248,0.0014745704279131044,0.001290861053949742,0.0027132386858067254
WT,0.0005492411049385964,0.0,0.0001282098887813672,0.0
