,Class 0: Selective,Class 1: Pure Hemolytic,Class 2: Both Active/Toxic,Class 3: Inactive
MoranAuto_Mutability10,0.00507396611483202,0.0020340058171447713,0.0007522019722262803,0.002061999450452594
GearyAuto_FreeEnergy11,0.0029165274972189265,0.002016250199047174,0.0015710569180164254,0.009676308541709836
GearyAuto_Mutability5,0.007414418856670735,0.002784868278964668,0.0003501644986130743,0.0019229772345012712
_NormalizedVDWVC1,0.04373469420617545,0.0038193927489737194,0.006613940944347012,0.04299447287663916
_SecondaryStrT13,0.0009903405966749993,0.0126969963245332,0.00016948909065127006,0.012028976477779858
_ChargeT23,0.013886122775870856,0.0017847656862350389,0.0010387984615774684,0.020092208546711756
_SecondaryStrD2100,0.0031558065537256497,0.0014586950543703104,0.0009298727388506967,0.005866082468518122
_SecondaryStrD3001,0.0005472542244327154,0.0020008690081007928,0.001259166203457928,7.986109424562731e-05
_SecondaryStrD3025,0.0027119094301945638,0.001747355992756019,0.0016726274822831432,0.010297790116101812
_ChargeD1025,0.043306275600122714,0.043826522818718155,0.0012953601451039176,0.005164087859130337
_ChargeD3025,0.000811164623156555,0.002055682066806323,0.00012129180923787268,0.0007120252678360398
tausw5,0.029338157038614022,0.007562385551362403,0.012381398443586643,0.0543146991481974
QSOSW3,0.006471723212049604,0.0,0.0010735656419808,0.00728006233896951
QSOSW12,0.0004753466922545553,0.01130315917929398,0.001041685328535661,0.01398708752466451
QSOSW13,0.002001064573626977,0.0016299209197683762,0.00015134025128378455,0.0009668874619753079
QSOgrant8,8.624745619954537e-05,0.0,0.0,0.0
QSOgrant9,0.0013395842722938077,0.0016369103591760818,0.001035504384586689,0.0033477924765186904
QSOgrant15,0.0,0.0001330036170096807,1.6316883964419208e-05,0.00023048019136596168
QSOgrant20,0.0,9.523692962364558e-05,0.0,0.0
APAAC1,0.002567516448363497,0.001868310731841449,0.007676474063330599,0.0012188985824947568
APAAC8,0.00017007948924056157,0.007893038518297977,0.0006727885907579905,0.0029942970106575065
