,Class 0: Selective,Class 1: Pure Hemolytic,Class 2: Both Active/Toxic,Class 3: Inactive
HT,0.00041351953155017963,0.00039867601160714834,0.0008307847050032154,0.0008289000657575341
HY,0.0,0.0,0.0,0.0
IP,0.0012466212185192535,0.0026636966783875698,0.0004888836701529605,0.001195028984127546
IV,0.0001988126520585294,0.003062297761549164,0.00044717445961887627,0.0015447090328448716
LQ,0.00014399212266578398,0.0,0.000490621326700515,0.0007341198384571131
LP,0.0014776477989768477,0.0011468017458843545,0.0037967492060379817,0.004183946412997272
LV,0.0029229661933473793,0.001968401909424575,0.0009472439547782184,0.0
KE,0.0023180069115332417,0.002085163850263073,6.780317294659907e-05,0.004598532473267414
KW,0.007330227901618154,0.0,0.0,0.003391858711753085
MQ,0.0,0.0,0.0,0.0
MT,0.00151296336941292,0.000764292284495045,0.0006664010375560462,0.0014312201174527049
MW,0.0,0.0,0.0,0.0
FA,0.0004994136174289366,6.298592550387404e-05,0.0008608022508758423,0.00017726637142593678
FD,0.0,0.0,0.0,0.0
FQ,0.00041969574586627666,0.00041231665908992606,0.00040435064236595046,0.0
FP,0.0005009538617899177,7.050635801081028e-05,0.00010131735399870102,0.00032539454082761274
FV,0.0002544771194355378,0.0006551513710269914,0.0002805724466626326,0.001422480792295735
PD,0.0,0.0,0.0,0.0
PE,0.0,0.0,0.0,0.0
PT,0.0015520965009780169,0.0011309994131370705,0.00041803103181992703,0.0007828587178026169
PW,0.0019982079310007085,0.0007133626904343329,0.00034220228243162507,0.0007427533769537537
PV,0.0011856252105164463,0.0011053621821291947,0.000342140050683053,0.00034578664548601793
SD,0.0017465864736657824,0.00019804055948491225,0.00018659309828335675,0.002072504355457248
TH,0.00031001755440089737,0.00021062748744629103,0.00012546850753555677,0.0006670598100976451
WD,0.0,0.0,0.0,0.0
WC,6.663906157482928e-05,0.00018918629558943874,0.0003895910918046529,4.856679596167016e-05
WG,0.000873906054570283,0.0003883149597248702,0.00012350006607926982,0.0014434858152644905
WK,0.004369078342309942,0.0015061090415948554,0.0011160713910976785,0.003814832855974674
WM,0.0013003784860786784,0.0013586535374010137,0.0004975122880144244,0.0011398928836362208
YR,0.0012276837055350885,0.0005148684910624916,0.00012925227615601006,0.000333952341456923
YH,0.0,0.0,0.0,0.0
YF,0.00040656863308395126,0.00020160020258852952,0.0005287051447201568,0.0007905044532652063
VD,0.0016864928019968074,8.639459789119108e-05,0.0004265486817561752,0.002192202388017379
VC,0.0005415403852630284,0.0024721500378742356,0.0004055342668598209,0.002005129308551597
VQ,0.0002331723270570216,0.00013282742491006644,0.00031367202961455124,0.0003176565311479708
MoreauBrotoAuto_Hydrophobicity11,0.013846405568173716,0.006566291087025265,0.003352988779876905,0.0012915313861203452
MoreauBrotoAuto_AvFlexibility4,0.00020321796839984323,0.00035242332860311166,0.0004433881738703849,0.0003576857459325714
MoreauBrotoAuto_FreeEnergy10,0.00669014214801441,0.001983611666859138,0.0008532874560346009,0.0013427099181867778
MoreauBrotoAuto_ResidueASA2,0.0004428307058158069,0.0020434034880543804,0.0018539254373710656,0.005457887237267492
MoreauBrotoAuto_ResidueVol14,0.0033584745925627213,0.00034328874250254423,0.0036387746714104667,0.008329134507643565
MoreauBrotoAuto_Steric13,0.00102561953473001,0.0010723169324790222,0.0017416279638105402,0.001746627818521894
MoranAuto_Hydrophobicity6,0.0013361678445584682,0.002450724552040051,0.00022127519114840117,0.0
MoranAuto_Hydrophobicity7,0.002637143731980316,0.0013184216338815104,0.0007229566480142079,0.008226144475988769
MoranAuto_Hydrophobicity11,0.0023452966216081727,0.0011507514819745718,0.0014415445501259885,0.009289748518275095
MoranAuto_Polarizability8,0.0011693575914323929,0.0001630343834531668,0.00016707852001177062,0.00039898777208700745
MoranAuto_FreeEnergy2,0.0019561572165909657,0.007261396933688733,0.008491176463972464,0.02318403030694051
MoranAuto_FreeEnergy12,0.005283885935844312,0.001127733914894583,0.003534262214509418,0.001339965535355503
MoranAuto_Steric6,0.0001504834600306861,0.00019388317105691738,0.00022822775525202353,0.0005097709239028452
MoranAuto_Steric7,0.0,0.0003638760783077116,0.00438178691387322,0.0032156302544387957
MoranAuto_Steric8,0.0006739379833129854,0.0017819680407824023,4.689240647959911e-05,0.00013318791864811672
MoranAuto_Mutability2,0.000628019948972226,0.0008791109069910786,0.007272767771790634,0.001263508116345921
MoranAuto_Mutability4,0.00044358856203903507,0.002028339182066693,0.00013260718597049532,0.0017933871832043022
