,Class 0: Selective,Class 1: Pure Hemolytic,Class 2: Both Active/Toxic,Class 3: Inactive
LH,0.00048824709173323204,4.245710837750661e-05,0.0005221479386791068,0.00018609311047763309
LI,0.002350585004715778,0.0020407784096540924,0.002042956137378462,0.0017315205251612722
LP,0.0006739033402082509,0.0031836049790310043,0.004783427281598359,0.010666969928245862
LV,0.004026612944616223,0.003720385705658755,0.0006879016748898685,0.0014252482181028152
KK,0.010138392055804527,0.0012763002840842144,0.00030254688128869003,0.00236061262215122
KW,0.014616780369716862,0.00014276754891166989,0.00023454627123811427,0.011115644685493453
ML,0.0006453055960547923,0.0014846423987581376,0.00038881658445474,0.0009128807257769209
MP,0.0010798828625955305,2.1870780168020843e-05,2.4330148036900977e-05,0.0011434415292311069
FL,0.015174310647940201,0.007588487526255763,0.0019229078683184514,0.004011750367239048
PG,0.0,0.0,0.0,0.0
PV,0.00016813993435989003,0.0017634466167898188,0.0006997875254637242,0.0027341080452868314
SN,0.00094844565054997,0.0005957930179423925,0.0008906741310910673,0.002569511271165462
SL,0.0004804573702069483,0.0009020392852031332,0.0007206487043410134,0.0005467788804479626
SP,0.0008194293792252999,0.0,0.0005715799222662389,0.001417395839586931
SY,0.002294083715829308,0.0009327217284449196,0.00044642209004753,0.0011395849461485618
TA,0.0008151194970901839,0.00026957730123357927,0.0004946103986687493,0.0007434021632361326
TI,0.003418154626454073,0.002411714944383997,0.0006515382110151948,0.001266936921589191
WT,0.0007880156540650677,0.000262522055051006,0.0003384138194057415,0.0
VR,0.003123554313369109,0.0005790340731663377,0.0002760400153816862,0.0020998983096190806
VK,0.001479973550376904,0.0009756798078319883,0.0014374929226186942,0.00018476435074427818
MoreauBrotoAuto_Hydrophobicity11,0.00694623729390443,0.003671888696225819,0.0020501662138123207,0.0027274225422006817
MoreauBrotoAuto_Polarizability11,0.0014280706794770094,0.00015423037526943444,0.0022284983822528927,0.0035259438309294664
MoreauBrotoAuto_FreeEnergy11,0.0010061704867791721,0.0006459553829403187,0.0003764631440274675,0.0014144333043563046
MoreauBrotoAuto_ResidueASA11,0.0012571382958934687,0.000424177887908395,0.0003225327734042036,0.0019425569383040263
MoreauBrotoAuto_Steric4,0.0028801695742750677,0.0006636660208961307,0.0003999258931037342,0.0014545831186955455
MoranAuto_Hydrophobicity4,0.0005446900190394362,0.0005395734353973461,0.00919113607936808,0.0012006794328792833
MoranAuto_AvFlexibility1,0.0003846732156585248,0.002325631185543739,0.0039038382646632854,0.0009120350229071543
MoranAuto_Steric4,0.0014588442906864627,0.01236807986139296,0.0036802852873042634,0.006731170049827048
MoranAuto_Mutability1,0.005830680018387864,0.0004528070950491445,0.001995967503848748,0.00566670652494013
GearyAuto_Hydrophobicity6,0.0032480222417741915,0.004710619367412612,0.0015429801184880824,0.0014780076079194263
GearyAuto_Polarizability3,0.002891139682235427,0.0012537259247319792,0.0062559007298603605,0.01015914599562741
GearyAuto_FreeEnergy7,0.005224101649664526,0.0005860758607302615,0.0003622967004314304,0.0038121916740430166
GearyAuto_FreeEnergy8,0.0020065560132266325,0.003998435547873293,0.00745214007039439,0.015823330900624346
GearyAuto_ResidueVol7,0.00024454942938283494,0.0020408582864139403,0.003192450004609497,0.0008509258240893707
_SolventAccessibilityC1,0.004611032362962397,0.013931313125606611,0.013751904409921887,0.020155870384692767
_PolarityC3,0.01070481639406788,0.010331249941673894,0.00030766138908719907,0.0014089014147035301
_HydrophobicityC1,0.025703492533277455,0.008820934337049856,0.002510960464018919,0.01511657242924511
_HydrophobicityC3,0.006918782705308199,0.030415302175229912,0.009207282369661458,0.05257061245456179
_ChargeT13,0.0019113497394588823,0.003026042167570612,0.0008317530270293698,0.006031671237271449
_PolarizabilityD2025,0.0016379250068053542,0.0015500699529484242,0.0023742316431872397,0.0006878836927367057
_SecondaryStrD3100,0.0003287738341637097,0.0005799809196890514,0.000437266574656944,0.0
_NormalizedVDWVD2050,0.000714571497263795,0.0017047491083833916,0.006058507116616011,0.008445309444144877
_HydrophobicityD1075,0.009848286101234238,0.004741095404974937,0.0010668035516980805,0.0023568485750606796
tausw11,0.009840470071978703,0.007739577142492419,0.013213414927569396,0.035491248995031636
taugrant8,0.016784696990371935,0.006081982684880934,0.0003415527888450245,0.02732463599227714
QSOSW11,0.005668898116076427,0.002902727068488687,0.005638805819363659,0.01604027804597266
QSOSW18,6.259959661191333e-05,0.0003958804796200458,0.0001029923709903792,0.000556320632401047
QSOSW24,0.008744684416705556,0.013548483154403315,0.00888766291227997,0.03755484009435523
QSOgrant2,0.0,0.0,0.0,0.0
APAAC4,0.015677628207254976,0.0009615558317852334,0.0051165181879327505,0.02239653074897833
APAAC11,0.0024163229016720576,0.026016013215506614,0.004312373574582932,0.029786834365465305
