,Class 0: Selective,Class 1: Pure Hemolytic,Class 2: Both Active/Toxic,Class 3: Inactive
MoreauBrotoAuto_ResidueASA11,0.0008319877587911587,0.00016713794810148887,0.0003234484232684136,0.0023122326436537497
MoreauBrotoAuto_ResidueASA2,0.0,0.0003237252392767105,0.0002551859751440641,0.0006020902367950491
MoreauBrotoAuto_ResidueVol14,0.0021976712271513546,0.0,0.0011879727378852252,0.0036491162766802295
MoreauBrotoAuto_ResidueVol29,0.0005563189563324772,0.0008985944427158337,0.0004497687476640267,0.0024958276380340366
MoreauBrotoAuto_Steric13,0.0005499054619340728,0.0,0.0024213613620856856,0.0008435819329540101
MoreauBrotoAuto_Steric4,0.0005122894124058342,0.00022450009149648344,0.0002275068977334627,0.0003394879830182923
NI,0.0,0.0,0.0,2.251539205659058e-05
NK,0.001027070283202095,0.0013786999540221425,0.0016251809881208772,0.0052379556202471695
NM,0.0,0.0,0.0,0.0
NP,0.0003598470399397449,0.0005995980975397958,0.0006403770733310623,0.00033162907693799244
NQ,0.00037380204502496353,0.0004891604011934593,0.0006014014693949762,0.0004929841299487874
NW,0.00019014740225958645,0.0,0.0,0.0007907130322611597
PD,0.0,0.0,0.0,0.0
PE,0.0,0.0,0.0,0.0
PG,0.0,0.0,0.0,0.0
PK,0.0028881490843275727,0.00017980761030629875,0.0004899836681572858,0.0020401453713607145
PT,0.0013708321915396715,0.0010131198806322668,0.00048253811714852663,0.0008024283873426275
PV,8.871061640261715e-05,0.0008925412246546962,0.00011581878066757793,0.000619870942910762
PW,0.002553368546728641,0.0005638256031648941,0.00015832879541601198,0.0018012445330617595
QH,0.0011907063798142425,0.0009587210663625302,0.0012482364825428032,0.0016282025124341713
QK,0.0,0.00020211341791757812,0.0,0.0002857829045493346
QL,0.0004930594143566158,0.0,0.0003726152876792081,0.00088353570929715
QN,0.0011779699576812122,0.0004060963357617689,0.000532510238220538,0.0011061202349381507
QSOSW1,0.004578271050991856,0.00019511476098443899,0.00032622688614509924,0.005069086866611818
QSOSW11,0.0026544627041547777,0.0006871139696149,5.967148677216804e-05,0.005024061384434047
QSOSW12,0.0001644180525045534,0.000677189780430855,0.0,0.0005144794903949875
QSOSW13,0.0015092495385293976,7.032096574626053e-05,0.0001695862474677586,0.0016213812073568004
QSOSW18,0.0,8.300075696880159e-05,3.791168727725681e-05,4.99317397232607e-05
QSOSW19,0.00020921931807462707,0.0,0.0,0.0001049004836981703
QSOSW23,0.0002453781729779971,0.010579108361903152,0.002474924099252427,0.0135880702072765
QSOgrant1,0.0,0.0,0.0,0.0
QSOgrant14,0.0002392364858896256,0.00016549037009406617,0.0,0.0004444354813016475
QSOgrant16,0.00016905288181251222,0.0001353317624281663,0.0024128702062144736,0.0013701327833727892
QSOgrant18,0.0,0.0,0.0,0.0
QSOgrant2,0.0,0.0,0.0,0.0
QSOgrant20,0.0,0.002057922204681591,0.00015678501553444441,0.0006904629847056391
QSOgrant3,0.001083263235076453,0.0003520206038809543,8.920269198074144e-05,0.002676432481137101
QSOgrant5,0.00010802563995048793,0.0,0.0,0.00022125457704387017
QSOgrant8,3.286295071042228e-05,0.0,0.0,0.0
QT,0.0,0.0,0.0,0.0
RC,0.0019343407962812763,0.0002498628354847426,0.00036454437278177643,0.001208297818157939
RH,0.0,0.0,0.0,0.0
RI,0.0009878271264076826,0.0013581623531633102,0.001384381915320152,0.0012732918184341264
RP,0.0013102777165912873,0.0002498885120264029,0.00017802685462924988,0.0016563881431084268
RV,0.00019549754768530148,0.0,0.00016107488542167016,0.0008094186832772579
SD,0.0011781327915761286,0.0,0.00012095398604952166,0.0013101786889258976
SL,0.0009255069593638818,0.0005616000115717402,0.0004297281574851163,0.0005671459716902867
SP,0.0004093465977228293,0.0,0.0005814457207413838,0.0006886123694603359
TH,0.00040608010858143796,0.0001002490875820383,0.00010132058531951905,0.0006507050396031825
TK,0.0007655143393869738,0.0006981024987870042,0.0012968155605286905,0.00038844610925331026
TL,0.0006456940690568333,0.0001781079115672295,0.0,0.0006697400276177222
VC,0.00033384608873273806,0.0013202809691274242,0.0002772356453457368,0.001383487972893077
VD,0.0015887089264639616,0.0,0.0004512675976907067,0.0017435042030190023
VQ,0.0,0.0002443165345970861,0.0003397168174371041,0.0003233089354102318
VY,0.0,0.0,0.0,0.0
WA,0.00018188955262394885,0.0,0.0006006043791179438,0.0006762059253840543
WC,0.0,0.00019536384206837309,0.0003276382268421742,0.0
WD,0.0,0.0,0.0,0.0
WG,0.00015302627069677251,2.927818541529646e-05,7.673874009421299e-05,0.0
WK,0.001532148717810256,0.0002074411773087859,0.0008120284313703857,0.001942841205161117
WM,0.0009145406369191126,0.0006578069648754075,0.00038142476118087896,0.0005109619022119015
YA,0.00042387271866113743,0.0012142199482326063,5.247211695018856e-05,0.0007790604818541818
YF,0.00022646586170223633,7.251658595380862e-05,0.0005776480224254115,0.0008065287923918568
YH,0.0,0.0,0.0,0.0
YR,0.0007010066522959122,5.942572298968099e-05,0.0007432756333365789,0.0022275344689727636
_ChargeC1,0.017475985110831378,0.010484095123131861,0.0005475073741121417,0.0008142573992556069
_ChargeD1050,0.00011774786512758271,0.0010675520595027964,0.0011597891175706173,0.0009675467965431032
_ChargeT12,0.0062308964425308744,0.006353253934920445,0.0022757685140663416,0.002058858921649631
_ChargeT13,0.0003161458621744906,0.0013899821113963417,0.0007296988061727228,0.0027661587160194645
_ChargeT23,0.006978981944911191,0.0007902514843776432,0.00035209533644155416,0.005728470458458494
_HydrophobicityC3,0.0015642127593455532,0.02140492387460511,0.00186684369653231,0.019287241949029314
_HydrophobicityD1075,0.0028796970445177095,0.0025004509006093037,0.0,8.058867673162371e-05
_HydrophobicityD2075,0.0,0.00025083171960927367,2.6490509119699048e-05,9.268784117145206e-05
_NormalizedVDWVC1,0.004661552393074307,0.0,0.0022089815382253255,0.00824837603939509
_NormalizedVDWVD2025,8.793016824162938e-05,0.0008916610769328812,0.0,0.0002042494849543216
_PolarityC3,0.006120065353794773,0.018224084406146614,0.0034253038837993477,0.010388300208738
_PolarityD3025,0.017939245577313044,0.006255516660052963,0.0,0.004461548904713185
_PolarizabilityD2100,0.0016411739527986745,0.0,0.0005513116609903674,0.002588932681439666
_PolarizabilityD3025,0.0013685214123497155,0.0003538975229029102,0.0032832727918435975,0.006347997799986147
_SecondaryStrC3,0.007539303857349092,0.003547719225964968,0.006280866341397883,0.02576266800297146
_SecondaryStrD3025,0.00043056645721832365,0.0,0.0010530196799355754,0.002150093361616453
_SolventAccessibilityC1,0.0011138708873575911,0.014166933138236444,0.0122350341323453,0.026297441315938353
_SolventAccessibilityD2075,0.003511897152924571,0.0031636026756983104,0.0,0.0
_SolventAccessibilityD3001,0.0017838302894981177,0.0014090734091276517,0.004716299994152246,0.00015471774941857043
tausw5,0.014303160763809965,0.00713037680038309,0.00878467018408648,0.0348972540103697
